"date","phase2","n5"
2017-07-13,"day",168
2017-07-14,"day",168
2017-07-15,"day",166
2017-07-16,"day",166
2017-07-17,"day",166
2017-07-18,"day",166
2017-07-19,"day",166
2017-07-20,"day",166
2017-07-21,"day",166
2017-07-22,"day",166
2017-07-23,"day",166
2017-07-24,"day",166
2017-07-25,"day",164
2017-07-26,"day",164
2017-07-27,"day",164
2017-07-28,"day",164
2017-07-29,"day",164
2017-07-30,"day",164
2017-07-31,"day",164
2017-08-01,"day",162
2017-08-02,"day",162
2017-08-03,"day",162
2017-08-04,"day",162
2017-08-05,"day",162
2017-08-06,"day",162
2017-08-07,"day",162
2017-08-08,"day",160
2017-08-09,"day",160
2017-08-10,"day",160
2017-08-11,"day",160
2017-07-12,"night",48
2017-07-13,"night",96
2017-07-14,"night",96
2017-07-15,"night",96
2017-07-16,"night",96
2017-07-17,"night",96
2017-07-18,"night",96
2017-07-19,"night",96
2017-07-20,"night",97
2017-07-21,"night",98
2017-07-22,"night",98
2017-07-23,"night",98
2017-07-24,"night",98
2017-07-25,"night",98
2017-07-26,"night",99
2017-07-27,"night",100
2017-07-28,"night",100
2017-07-29,"night",100
2017-07-30,"night",100
2017-07-31,"night",100
2017-08-01,"night",101
2017-08-02,"night",102
2017-08-03,"night",102
2017-08-04,"night",102
2017-08-05,"night",102
2017-08-06,"night",102
2017-08-07,"night",103
2017-08-08,"night",104
2017-08-09,"night",104
2017-08-10,"night",104
2017-08-11,"night",43
2017-07-13,"other",26
2017-07-14,"other",26
2017-07-15,"other",26
2017-07-16,"other",26
2017-07-17,"other",26
2017-07-18,"other",26
2017-07-19,"other",26
2017-07-20,"other",26
2017-07-21,"other",26
2017-07-22,"other",24
2017-07-23,"other",24
2017-07-24,"other",24
2017-07-25,"other",24
2017-07-26,"other",24
2017-07-27,"other",24
2017-07-28,"other",24
2017-07-29,"other",24
2017-07-30,"other",24
2017-07-31,"other",24
2017-08-01,"other",24
2017-08-02,"other",24
2017-08-03,"other",24
2017-08-04,"other",24
2017-08-05,"other",24
2017-08-06,"other",24
2017-08-07,"other",24
2017-08-08,"other",24
2017-08-09,"other",24
2017-08-10,"other",24
2017-08-11,"other",24
